,LT,abs,rel
322,0,130.0,118.673220793
328,1,70.0,63.9009650423
335,0,30.0,27.3861278753
338,0,70.0,63.9009650423
340,1,70.0,63.9009650423
342,0,70.0,63.9009650423
344,1,120.0,109.544511501
347,0,10.0,9.12870929175
348,0,40.0,36.514837167
356,1,30.0,27.3861278753
358,1,10.0,9.12870929175
362,1,80.0,73.029674334
364,1,100.0,91.2870929175
369,1,60.0,54.7722557505
373,0,90.0,82.1583836258
380,0,80.0,73.029674334
382,1,50.0,45.6435464588
388,1,100.0,91.2870929175
389,1,70.0,63.9009650423
399,1,70.0,63.9009650423
400,1,30.0,27.3861278753
402,1,60.0,54.7722557505
406,1,70.0,63.9009650423
415,1,60.0,54.7722557505
416,1,160.0,146.059348668
417,1,30.0,27.3861278753
421,0,20.0,18.2574185835
423,1,10.0,9.12870929175
436,1,60.0,54.7722557505
440,1,80.0,73.029674334
441,0,20.0,18.2574185835
442,1,10.0,9.12870929175
448,0,140.0,127.801930085
460,1,100.0,91.2870929175
465,1,90.0,82.1583836258
467,1,50.0,45.6435464588
468,0,40.0,36.514837167
471,0,80.0,73.029674334
472,1,100.0,91.2870929175
473,0,70.0,63.9009650423
478,1,90.0,82.1583836258
479,0,60.0,54.7722557505
480,1,10.0,9.12870929175
482,1,40.0,36.514837167
486,1,40.0,36.514837167
488,0,30.0,27.3861278753
491,0,100.0,91.2870929175
496,1,10.0,9.12870929175
498,1,80.0,73.029674334
499,1,70.0,63.9009650423
502,1,80.0,73.029674334
503,0,40.0,36.514837167
505,1,50.0,45.6435464588
509,1,80.0,73.029674334
515,0,100.0,91.2870929175
516,0,30.0,27.3861278753
518,0,110.0,100.415802209
520,1,100.0,91.2870929175
524,1,50.0,45.6435464588
527,0,160.0,146.059348668
532,0,50.0,45.6435464588
533,0,30.0,27.3861278753
538,1,50.0,45.6435464588
539,1,10.0,9.12870929175
542,1,60.0,54.7722557505
548,1,30.0,27.3861278753
549,0,60.0,54.7722557505
550,1,20.0,18.2574185835
552,1,90.0,82.1583836258
553,1,50.0,45.6435464588
561,1,30.0,27.3861278753
562,1,30.0,27.3861278753
563,1,190.0,173.445476543
564,1,100.0,91.2870929175
565,1,10.0,9.12870929175
566,1,10.0,9.12870929175
569,1,150.0,136.930639376
570,1,30.0,27.3861278753
571,1,30.0,27.3861278753
575,1,40.0,36.514837167
576,1,10.0,9.12870929175
581,1,60.0,54.7722557505
585,1,50.0,45.6435464588
591,0,20.0,18.2574185835
593,0,100.0,91.2870929175
595,0,60.0,54.7722557505
597,1,40.0,36.514837167
600,1,90.0,82.1583836258
601,1,160.0,146.059348668
608,1,80.0,73.029674334
611,0,100.0,91.2870929175
615,0,120.0,109.544511501
616,1,30.0,27.3861278753
618,1,180.0,164.316767252
621,1,60.0,54.7722557505
624,1,70.0,63.9009650423
633,1,40.0,36.514837167
641,0,10.0,9.12870929175
644,1,70.0,63.9009650423
647,1,30.0,27.3861278753
664,1,140.0,127.801930085
670,0,110.0,100.415802209
674,1,90.0,82.1583836258
675,1,40.0,36.514837167
680,1,150.0,136.930639376
682,1,20.0,18.2574185835
687,0,20.0,18.2574185835
691,0,50.0,45.6435464588
692,1,30.0,27.3861278753
695,0,50.0,45.6435464588
696,1,10.0,9.12870929175
699,1,10.0,9.12870929175
709,0,10.0,9.12870929175
713,0,20.0,18.2574185835
718,1,10.0,9.12870929175
737,1,40.0,36.514837167
738,1,30.0,27.3861278753
740,1,70.0,63.9009650423
743,0,80.0,73.029674334
747,0,120.0,109.544511501
749,1,30.0,27.3861278753
752,1,120.0,109.544511501
769,1,50.0,45.6435464588
772,1,40.0,36.514837167
774,1,70.0,63.9009650423
777,1,30.0,27.3861278753
786,1,10.0,9.12870929175
787,0,40.0,36.514837167
792,1,40.0,36.514837167
794,1,10.0,9.12870929175
800,1,70.0,63.9009650423
802,1,90.0,82.1583836258
805,1,30.0,27.3861278753
806,1,100.0,91.2870929175
811,1,30.0,27.3861278753
812,1,70.0,63.9009650423
813,1,80.0,73.029674334
815,1,10.0,9.12870929175
821,1,40.0,36.514837167
823,0,100.0,91.2870929175
827,1,20.0,18.2574185835
837,1,60.0,54.7722557505
840,1,30.0,27.3861278753
844,1,30.0,27.3861278753
847,1,10.0,9.12870929175
858,1,150.0,136.930639376
864,1,100.0,91.2870929175
866,1,100.0,91.2870929175
868,1,10.0,9.12870929175
874,1,80.0,73.029674334
875,1,50.0,45.6435464588
876,1,50.0,45.6435464588
879,1,10.0,9.12870929175
887,1,40.0,36.514837167
891,1,30.0,27.3861278753
894,0,140.0,127.801930085
898,1,130.0,118.673220793
900,0,10.0,9.12870929175
903,1,70.0,63.9009650423
907,0,90.0,82.1583836258
909,0,60.0,54.7722557505
912,0,50.0,45.6435464588
915,1,20.0,18.2574185835
916,0,60.0,54.7722557505
917,1,10.0,9.12870929175
921,1,90.0,82.1583836258
925,1,40.0,36.514837167
931,1,70.0,63.9009650423
932,1,130.0,118.673220793
935,0,100.0,91.2870929175
937,1,160.0,146.059348668
943,0,50.0,45.6435464588
946,1,50.0,45.6435464588
949,0,30.0,27.3861278753
950,0,100.0,91.2870929175
953,1,60.0,54.7722557505
956,1,90.0,82.1583836258
957,0,20.0,18.2574185835
963,1,110.0,100.415802209
974,1,90.0,82.1583836258
978,1,120.0,109.544511501
979,1,70.0,63.9009650423
982,1,80.0,73.029674334
986,1,10.0,9.12870929175
987,1,60.0,54.7722557505
992,1,60.0,54.7722557505
996,1,60.0,54.7722557505
1003,1,10.0,9.12870929175
1012,1,30.0,27.3861278753
1013,1,50.0,45.6435464588
1016,1,30.0,27.3861278753
1021,1,30.0,27.3861278753
